"geocode","Municipio","value"
2513505,"Santana de Mangueira","0.35"
2513604,"Santana dos Garrotes","0.63"
2513851,"Santo André","0.79"
2513927,"São Bentinho","0.69"
2513901,"São Bento","0.16"
2513968,"São Domingos","0.84"
2513943,"São Domingos do Cariri","0.79"
2513984,"São Francisco","0.90"
2514008,"São João do Cariri","0.77"
2500700,"São João do Rio do Peixe","0.71"
2514107,"São João do Tigre","0.57"
2514206,"São José da Lagoa Tapada","0.66"
2514305,"São José de Caiana","0.19"
2514404,"São José de Espinharas","0.63"
2514503,"São José de Piranhas","0.53"
2514552,"São José de Princesa","0.51"
2514602,"São José do Bonfim","0.40"
2514651,"São José do Brejo do Cruz","0.34"
2514701,"São José do Sabugi","0.53"
2514800,"São José dos Cordeiros","0.77"
2514453,"São José dos Ramos","0.42"
2514909,"São Mamede","0.84"
2515005,"São Miguel de Taipu","0.30"
2515104,"São Sebastião de Lagoa de Roça","0.57"
2515203,"São Sebastião do Umbuzeiro","0.64"
2515401,"São Vicente do Seridó","0.28"
2515302,"Sapé","0.43"
2515500,"Serra Branca","0.88"
2515609,"Serra da Raiz","0.65"
2515708,"Serra Grande","0.44"
2515807,"Serra Redonda","0.74"
2515906,"Serraria","0.64"
2515930,"Sertãozinho","0.82"
2515971,"Sobrado","0.41"
2516003,"Solânea","0.65"
2516102,"Soledade","0.48"
2516151,"Sossêgo","0.38"
2516201,"Sousa","0.46"
2516300,"Sumé","0.72"
2516409,"Tacima","0.57"
2516508,"Taperoá","0.61"
2516607,"Tavares","0.41"
2516706,"Teixeira","0.31"
2516755,"Tenório","0.30"
2516805,"Triunfo","0.59"
2516904,"Uiraúna","0.73"
2517001,"Umbuzeiro","0.62"
2517100,"Várzea","0.83"
2517209,"Vieirópolis","0.87"
2505501,"Vista Serrana","0.37"
2517407,"Zabelê","0.54"
